algorithm,pqc_adoption_pct,txs_per_block,effective_tps,ecdsa_inclusion_rate,pqc_inclusion_rate,fee_premium_pct,block_weight_utilization,critical_50pct_tps_threshold,fee_2x_threshold
Dilithium3 (ML-DSA-65),20.0,1385,2.308,0.0984,0.0993,-0.36,0.9999,10.0,
Dilithium3 (ML-DSA-65),25.0,1132,1.887,0.0798,0.0829,-0.69,0.9998,10.0,
Dilithium3 (ML-DSA-65),30.0,1084,1.807,0.0794,0.0718,-0.72,0.9999,10.0,
Dilithium3 (ML-DSA-65),35.0,916,1.527,0.0663,0.0631,7.59,1.0,10.0,
Dilithium3 (ML-DSA-65),40.0,843,1.405,0.0616,0.0575,-3.57,0.9998,10.0,
Dilithium3 (ML-DSA-65),45.0,759,1.265,0.0556,0.0521,1.02,0.9999,10.0,
Dilithium3 (ML-DSA-65),50.0,663,1.105,0.0468,0.0476,-1.77,0.9999,10.0,
Dilithium3 (ML-DSA-65),55.0,627,1.045,0.0464,0.0432,-0.48,1.0,10.0,
Dilithium3 (ML-DSA-65),60.0,579,0.965,0.0429,0.0401,3.17,1.0,10.0,
Dilithium3 (ML-DSA-65),65.0,518,0.863,0.0352,0.0378,1.73,0.9998,10.0,
Dilithium3 (ML-DSA-65),70.0,494,0.823,0.0351,0.0352,1.9,0.9998,10.0,
Dilithium3 (ML-DSA-65),75.0,470,0.783,0.0339,0.0333,6.72,0.9998,10.0,
Dilithium3 (ML-DSA-65),80.0,446,0.743,0.0335,0.0313,-3.49,0.9999,10.0,
Dilithium3 (ML-DSA-65),85.0,422,0.703,0.0328,0.0296,1.78,0.9999,10.0,
Dilithium3 (ML-DSA-65),90.0,410,0.683,0.0383,0.0281,8.81,0.9999,10.0,
Dilithium3 (ML-DSA-65),95.0,386,0.643,0.0448,0.0266,6.58,0.9999,10.0,
Dilithium3 (ML-DSA-65),100.0,359,0.598,0.0,0.0256,0.0,0.9993,10.0,
Dilithium5 (ML-DSA-87),0.0,4683,7.805,0.3333,0.0,-100.0,0.9998,10.0,
Dilithium5 (ML-DSA-87),5.0,2444,4.073,0.1728,0.1962,-5.02,0.9998,10.0,
Dilithium5 (ML-DSA-87),10.0,1764,2.94,0.1251,0.1296,2.13,0.9998,10.0,
Dilithium5 (ML-DSA-87),15.0,1383,2.305,0.0992,0.0942,3.76,0.9999,10.0,
Dilithium5 (ML-DSA-87),20.0,1084,1.807,0.0768,0.0787,-1.69,0.9998,10.0,
Dilithium5 (ML-DSA-87),25.0,885,1.475,0.0625,0.0644,0.64,0.9998,10.0,
Dilithium5 (ML-DSA-87),30.0,852,1.42,0.0628,0.0555,0.56,0.9999,10.0,
Dilithium5 (ML-DSA-87),35.0,653,1.088,0.0451,0.049,0.02,0.9999,10.0,
Dilithium5 (ML-DSA-87),40.0,653,1.088,0.0482,0.0438,-2.13,0.9999,10.0,
Dilithium5 (ML-DSA-87),45.0,587,0.978,0.0437,0.0395,1.24,1.0,10.0,
Dilithium5 (ML-DSA-87),50.0,504,0.84,0.0359,0.0359,-0.42,0.9999,10.0,
Dilithium5 (ML-DSA-87),55.0,471,0.785,0.0347,0.0326,1.64,1.0,10.0,
Dilithium5 (ML-DSA-87),60.0,437,0.728,0.0327,0.0301,5.83,0.9998,10.0,
Dilithium5 (ML-DSA-87),65.0,388,0.647,0.0264,0.0283,-1.22,1.0,10.0,
Dilithium5 (ML-DSA-87),70.0,371,0.618,0.0267,0.0263,3.81,0.9999,10.0,
Dilithium5 (ML-DSA-87),75.0,355,0.592,0.0265,0.0248,8.87,1.0,10.0,
Dilithium5 (ML-DSA-87),80.0,338,0.563,0.0271,0.0233,2.7,0.9999,10.0,
Dilithium5 (ML-DSA-87),85.0,321,0.535,0.028,0.022,5.03,0.9998,10.0,
Dilithium5 (ML-DSA-87),90.0,305,0.508,0.0286,0.0209,4.23,0.9999,10.0,
Dilithium5 (ML-DSA-87),95.0,288,0.48,0.0355,0.0198,14.38,0.9999,10.0,
Dilithium5 (ML-DSA-87),100.0,266,0.443,0.0,0.0189,0.0,0.9987,10.0,
SPHINCS+-128s,0.0,4683,7.805,0.3333,0.0,-100.0,0.9998,5.0,
SPHINCS+-128s,5.0,2332,3.887,0.1649,0.1875,-4.48,0.9999,5.0,
SPHINCS+-128s,10.0,1676,2.793,0.1191,0.1215,2.46,0.9999,5.0,
SPHINCS+-128s,15.0,1293,2.155,0.0927,0.0881,3.13,0.9999,5.0,
SPHINCS+-128s,20.0,1020,1.7,0.0725,0.0729,-2.95,1.0,5.0,
SPHINCS+-128s,25.0,819,1.365,0.0579,0.0596,1.51,0.9999,5.0,
SPHINCS+-128s,30.0,801,1.335,0.0595,0.0512,1.71,0.9999,5.0,
SPHINCS+-128s,35.0,619,1.032,0.0436,0.045,3.36,1.0,5.0,
SPHINCS+-128s,40.0,619,1.032,0.0466,0.0402,-2.75,1.0,5.0,
SPHINCS+-128s,45.0,546,0.91,0.041,0.0363,2.19,0.9999,5.0,
SPHINCS+-128s,50.0,455,0.758,0.0317,0.033,-0.5,1.0,5.0,
SPHINCS+-128s,55.0,436,0.727,0.0325,0.0299,3.65,0.9998,5.0,
SPHINCS+-128s,60.0,400,0.667,0.0298,0.0276,6.91,0.9999,5.0,
SPHINCS+-128s,65.0,364,0.607,0.026,0.0259,-0.63,1.0,5.0,
