chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,algo_counts_Ed25519,algo_distribution_Ed25519,block_time_ms,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,total_tx_generated,verification_failures,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65
solana,0.2,2,25,1982875.32,1663.16,147.77081193755674,241.81268160419793,273.0845959475271,0.04,4157.900000000001,19.5514,92.3485,0.0,33312,0.8011736694004185,400,0,0,41579,0,0,41579,0,4914,3353,0.11818466052574617,0.08064167007383535
solana,0.2,3,25,1942074.24,1659.4,132.01171836461594,219.02052205673587,256.71039240046025,0.0,4148.5,17.4007,91.6819,0.0,33416,0.8054959623960468,400,0,0,41485,0,0,41485,0,4891,3178,0.1178980354344944,0.07660600216945884
solana,0.2,4,25,1980767.44,1650.92,122.26137022920895,207.6621141211809,227.2679950999356,0.04,4127.3,16.5714,93.9968,0.0,32996,0.7994572723087733,400,0,0,41273,0,0,41273,0,4913,3364,0.11903665834807259,0.08150606934315412
solana,0.2,5,25,1994740.48,1662.32,140.2816649425914,235.49811584096943,256.9399845732376,0.0,4155.8,17.6316,93.775,0.0,33207,0.7990519274267289,400,0,0,41558,0,0,41558,0,4999,3352,0.12028971557822801,0.08065835699504308
solana,0.2,6,25,1994968.48,1668.56,119.55678910467967,210.57840551485893,232.77594794871075,0.0,4171.4,17.1149,92.0926,0.0,33346,0.7993958862731937,400,0,0,41714,0,0,41714,0,5088,3280,0.12197343817423408,0.07863067555257228
solana,0.2,7,25,2019723.44,1677.72,143.95034985886102,250.01388220298932,291.7500725136282,0.04,4194.3,17.8686,90.9631,0.0,33472,0.7980354290346423,400,0,0,41943,0,0,41943,0,5083,3388,0.12118827933147366,0.08077629163388408
solana,0.2,8,25,1992930.6,1667.24,128.4960532903207,226.746968183384,264.8729973650695,0.0,4168.1,16.9289,93.5917,0.0,33347,0.800052781843046,400,0,0,41681,0,0,41681,0,4999,3335,0.11993474244859768,0.08001247570835633
solana,0.2,9,25,2005263.8,1671.76,124.44912517712667,215.33329772656737,249.26639525355262,0.0,4179.4,14.8544,91.7171,0.0,33391,0.7989424319280279,400,0,0,41794,0,0,41794,0,5056,3347,0.12097430253146385,0.08008326554050821
solana,0.2,10,25,1995754.64,1667.84,122.6793596121768,214.88336491939128,250.63835335530723,0.0,4169.599999999999,15.6339,92.404,0.0,33352,0.7998848810437452,400,0,0,41696,0,0,41696,0,4990,3354,0.11967574827321566,0.08043937068303914
solana,0.25,1,25,2334225.64,1668.52,125.53308288514181,231.9778596902678,267.32867095669235,0.0,4171.3,17.1026,98.7291,0.0,31355,0.7516841272504975,400,0,0,41713,0,0,41713,0,6263,4095,0.15014503871694676,0.0981708340325558
solana,0.25,2,25,2349415.24,1663.16,153.0854428683779,247.7445525071167,275.1505002922799,0.04,4157.900000000001,21.4366,100.3519,0.0,31161,0.7494408234926285,400,0,0,41579,0,0,41579,0,6187,4231,0.14880107746699056,0.10175809904038097
solana,0.25,3,25,2306151.36,1659.4,143.725738812268,247.48392627822034,282.6234029267937,0.08,4148.5,19.0479,98.9825,0.0,31271,0.7537905266963962,400,0,0,41485,0,0,41485,0,6184,4030,0.14906592744365432,0.09714354585994937
solana,0.25,4,25,2328979.64,1650.92,137.37622844505134,239.878489151159,262.143454433841,0.0,4127.3,18.0906,103.139,0.0,30942,0.7496910813364669,400,0,0,41273,0,0,41273,0,6158,4173,0.14920165725777143,0.10110726140576164
solana,0.25,5,25,2348853.08,1662.32,137.56582232607516,234.75977019360718,263.6079727302835,0.04,4155.8,19.2413,103.0294,0.0,31120,0.7488329563501612,400,0,0,41558,0,0,41558,0,6259,4179,0.1506087877183695,0.10055825593146928
solana,0.25,6,25,2349472.64,1668.56,114.30152037556405,218.9062062584887,248.98615779986173,0.0,4171.4,18.6294,100.6227,0.0,31250,0.749148966773745,400,0,0,41714,0,0,41714,0,6372,4092,0.1527544709210337,0.09809656230522126
solana,0.25,7,25,2368090.76,1677.72,169.40556896558977,278.9110271677939,321.3798696478541,0.08,4194.3,19.4253,98.8413,0.0,31406,0.7487781036168133,400,0,0,41943,0,0,41943,0,6366,4171,0.1517774122022745,0.09944448418091219
solana,0.25,8,25,2354949.92,1667.24,142.30461128082715,253.8164949569672,294.41868699248806,0.04,4168.1,18.4713,101.3755,0.0,31209,0.7487584271010772,400,0,0,41681,0,0,41681,0,6302,4170,0.1511959885799285,0.10004558431899427
solana,0.25,9,25,2370450.0,1671.76,117.12443370409348,220.04877013954413,253.69447523498994,0.0,4179.4,16.2033,99.4637,0.0,31243,0.7475474948557209,400,0,0,41794,0,0,41794,0,6341,4210,0.1517203426329138,0.10073216251136527
solana,0.25,10,25,2353427.16,1667.84,126.38886432623869,229.35258075807488,276.57743172596514,0.0,4169.599999999999,17.0499,101.4771,0.0,31238,0.7491845740598618,400,0,0,41696,0,0,41696,0,6283,4175,0.1506859171143515,0.10012950882578664
solana,0.3,1,25,2683232.92,1668.52,130.13196230060555,246.63875816929513,283.2744043494215,0.0,4171.3,18.4519,105.9712,0.0,29301,0.7024428835135329,400,0,0,41713,0,0,41713,0,7495,4917,0.17968019562246781,0.11787692086399923
solana,0.3,2,25,2713270.84,1663.16,189.07816607841323,297.4625192845082,331.26700419596006,0.12,4157.900000000001,23.201,108.6463,0.0,29015,0.6978282305971765,400,0,0,41579,0,0,41579,0,7487,5077,0.1800668606748599,0.12210490872796363
solana,0.3,3,25,2671473.32,1659.4,124.23440244504954,250.49549630817296,289.26980102887416,0.0,4148.5,20.7186,108.5692,0.0,29133,0.7022538266843438,400,0,0,41485,0,0,41485,0,7433,4919,0.17917319513077015,0.1185729781848861
solana,0.3,4,25,2669453.68,1650.92,138.38712668633977,242.80841581828295,269.0569183447051,0.0,4127.3,19.5175,110.6767,0.0,28937,0.701112107188719,400,0,0,41273,0,0,41273,0,7364,4972,0.1784217284907809,0.12046616432050009
solana,0.3,5,25,2705583.6,1662.32,152.1553922880795,251.22535931025178,294.4823515229614,0.04,4155.8,20.8304,112.0972,0.0,29015,0.6981808556715915,400,0,0,41558,0,0,41558,0,7537,5006,0.18136098946051302,0.12045815486789548
solana,0.3,6,25,2705849.64,1668.56,135.7144300266271,237.23958471207408,269.6439745688812,0.0,4171.4,20.1752,108.0058,0.0,29155,0.6989260200412332,400,0,0,41714,0,0,41714,0,7622,4937,0.1827204295919835,0.11835355036678333
solana,0.3,7,25,2724461.04,1677.72,145.2962371051631,275.4496283912509,326.93163202539944,0.08,4194.3,21.0497,105.8483,0.0,29306,0.6987101542569678,400,0,0,41943,0,0,41943,0,7633,5004,0.18198507498271463,0.11930477076031758
solana,0.3,8,25,2718445.28,1667.24,153.8010162605259,274.21717451659447,314.6543825170666,0.08,4168.1,20.0319,108.7496,0.0,29068,0.6973920971185912,400,0,0,41681,0,0,41681,0,7591,5022,0.1821213502555121,0.12048655262589669
solana,0.3,9,25,2730606.96,1671.76,117.52396406685648,226.2375368761217,262.72634663287255,0.0,4179.4,17.5663,108.7299,0.0,29130,0.6969899985643873,400,0,0,41794,0,0,41794,0,7590,5074,0.18160501507393406,0.12140498636167871
solana,0.3,10,25,2714947.52,1667.84,131.49560021802588,244.72235999652773,291.23521086566666,0.0,4169.599999999999,18.4439,109.4347,0.0,29111,0.6981724865694551,400,0,0,41696,0,0,41696,0,7557,5028,0.18124040675364544,0.12058710667689947
solana,0.35,1,25,3038773.84,1668.52,134.74768048303105,257.4369908751635,307.4738433129108,0.04,4171.3,19.8987,115.7628,0.0,27221,0.652578332893822,400,0,0,41713,0,0,41713,0,8708,5784,0.20875985903675112,0.1386618080694268
solana,0.35,2,25,3062464.56,1663.16,169.35257532489985,293.41645062011196,326.67679023350087,0.08,4157.900000000001,24.9258,116.9408,0.0,26945,0.6480434834892614,400,0,0,41579,0,0,41579,0,8770,5864,0.2109237836407802,0.1410327328699584
solana,0.35,3,25,3030972.44,1659.4,145.4893976135171,271.94286673855555,320.2001912288543,0.08,4148.5,22.32,116.8654,0.0,27022,0.6513679643244547,400,0,0,41485,0,0,41485,0,8686,5777,0.2093768832107991,0.1392551524647463
solana,0.35,4,25,3005352.68,1650.92,131.35853495825228,240.0172023280384,272.42450747389125,0.0,4127.3,20.9307,119.1099,0.0,26950,0.6529692535071354,400,0,0,41273,0,0,41273,0,8584,5739,0.20798100453080706,0.13904974196205752
solana,0.35,5,25,3057922.56,1662.32,158.349764777207,260.6637233210529,315.612806701094,0.04,4155.8,22.371,118.8514,0.0,26928,0.6479618845950238,400,0,0,41558,0,0,41558,0,8826,5804,0.2123778815149911,0.13966023388998508
solana,0.35,6,25,3085856.6,1668.56,132.93606879760893,243.05241325356724,280.2151011623023,0.0,4171.4,21.8373,115.9625,0.0,26940,0.6458263412763101,400,0,0,41714,0,0,41714,0,8891,5883,0.21314187083473174,0.14103178788895815
solana,0.35,7,25,3077846.44,1677.72,181.0725498264457,303.5043587261746,372.15960556416957,0.08,4194.3,22.5668,114.3437,0.0,27224,0.6490713587487781,400,0,0,41943,0,0,41943,0,8888,5831,0.21190663519538422,0.13902200605583767
solana,0.35,8,25,3080339.32,1667.24,205.80277072158526,336.0040072852051,372.973092403572,0.16,4168.1,21.5704,117.1293,0.0,26946,0.6464816103260478,400,0,0,41681,0,0,41681,0,8842,5893,0.2121350255512104,0.14138336412274177
solana,0.35,9,25,3075774.6,1671.76,126.4191727138796,246.65891929006236,286.8766731578366,0.0,4179.4,18.8471,117.4772,0.0,27086,0.6480834569555438,400,0,0,41794,0,0,41794,0,8851,5857,0.21177681006843088,0.14013973297602528
solana,0.35,10,25,3073908.16,1667.84,153.29046434825065,270.59733039229616,315.19058609434205,0.08,4169.599999999999,19.8603,117.9871,0.0,27018,0.6479758250191865,400,0,0,41696,0,0,41696,0,8758,5920,0.21004412893323102,0.1419800460475825
solana,0.4,1,25,3403912.32,1668.52,134.59887431329935,266.7431746689721,315.79461381553915,0.04,4171.3,21.3024,116.4833,0.0,25083,0.6013233284587539,400,0,0,41713,0,0,41713,0,9960,6670,0.23877448277515403,0.1599021887660921
solana,0.4,2,25,3413440.12,1663.16,173.29565762481334,306.4453087932381,343.6713870811943,0.08,4157.900000000001,26.684,115.1582,0.0,24872,0.5981865845739436,400,0,0,41579,0,0,41579,0,10034,6673,0.24132374515981625,0.16048967026624017
solana,0.4,3,25,3399318.8,1659.4,145.80612051673018,280.3440585602052,326.80765044992046,0.04,4148.5,23.9708,116.7916,0.0,24859,0.5992286368566951,400,0,0,41485,0,0,41485,0,9970,6656,0.24032782933590455,0.16044353380740026
solana,0.4,4,25,3358739.56,1650.92,133.5313973607091,261.5422699193107,301.31256576871266,0.0,4127.3,22.4176,118.5129,0.0,24860,0.6023308216025004,400,0,0,41273,0,0,41273,0,9866,6547,0.23904247328762146,0.15862670510987814
solana,0.4,5,25,3423589.84,1662.32,162.51616996974252,273.92666533204306,330.52977131366146,0.04,4155.8,24.0117,116.4818,0.0,24783,0.5963472736897829,400,0,0,41558,0,0,41558,0,10093,6682,0.24286539294480003,0.160787333365417
solana,0.4,6,25,3438320.16,1668.56,123.66008939487126,256.8081327911201,289.8541970234269,0.0,4171.4,23.4042,113.6687,0.0,24882,0.5964903869204583,400,0,0,41714,0,0,41714,0,10080,6752,0.24164549072253919,0.16186412235700245
solana,0.4,7,25,3433924.36,1677.72,165.77425555053435,309.6773894425852,373.3415436292787,0.16,4194.3,24.2001,114.0351,0.0,25134,0.599241828195408,400,0,0,41943,0,0,41943,0,10126,6683,0.24142288343704552,0.15933528836754643
solana,0.4,8,25,3445509.12,1667.24,161.4698336557638,307.43242762935296,350.4521381007838,0.16,4168.1,23.1407,118.3583,0.0,24804,0.5950912885967228,400,0,0,41681,0,0,41681,0,10107,6770,0.24248458530265588,0.16242412610062137
solana,0.4,9,25,3439346.04,1671.76,121.99705145356033,254.33080670817992,302.931133436074,0.0,4179.4,20.2155,117.0324,0.0,24947,0.5969038617983443,400,0,0,41794,0,0,41794,0,10132,6715,0.2424271426520553,0.16066899554960043
solana,0.4,10,25,3439522.48,1667.84,141.84771201399303,272.62192045080957,324.564797241558,0.04,4169.599999999999,21.3487,117.857,0.0,24870,0.596460092095165,400,0,0,41696,0,0,41696,0,10036,6790,0.2406945510360706,0.1628453568687644
solana,0.45,1,25,3764290.8,1668.52,133.26150230998329,281.58166631033293,336.34389448892296,0.04,4171.3,22.7981,113.8415,0.0,22971,0.550691630906432,400,0,0,41713,0,0,41713,0,11202,7540,0.268549373097116,0.18075899599645195
solana,0.45,2,25,3762146.84,1663.16,166.74495397537456,317.1329162794353,361.4886635050687,0.12,4157.900000000001,28.4256,112.7208,0.0,22831,0.5490993049375887,400,0,0,41579,0,0,41579,0,11227,7521,0.27001611390365327,0.18088458115875802
solana,0.45,3,25,3746198.92,1659.4,157.58275306242567,302.9147163228563,353.97716371745855,0.08,4148.5,25.4603,114.2475,0.0,22815,0.5499578160781006,400,0,0,41485,0,0,41485,0,11203,7467,0.27004941545136796,0.17999276847053153
solana,0.45,4,25,3713929.92,1650.92,174.16679282691007,293.29988756425644,341.74674920586926,0.04,4127.3,23.9008,115.8262,0.0,22774,0.5517893053570131,400,0,0,41273,0,0,41273,0,11105,7394,0.2690620987085988,0.1791485959343881
solana,0.45,5,25,3764377.88,1662.32,166.65463086281068,290.0361466940342,359.0175956322237,0.08,4155.8,25.5481,114.5414,0.0,22775,0.5480292603108908,400,0,0,41558,0,0,41558,0,11304,7479,0.27200539005726937,0.17996534963183983
solana,0.45,6,25,3778486.92,1668.56,146.74553126463877,269.5938434334597,308.74365796813754,0.0,4171.4,24.8491,111.3928,0.0,22885,0.548616771347749,400,0,0,41714,0,0,41714,0,11264,7565,0.27002924677566287,0.1813539818765882
solana,0.45,7,25,3780058.6,1677.72,147.3741666287516,300.11667874943646,381.2755705412381,0.04,4194.3,25.7611,111.8387,0.0,23072,0.5500798703001692,400,0,0,41943,0,0,41943,0,11432,7439,0.27256037956273993,0.17735975013709082
solana,0.45,8,25,3794777.44,1667.24,190.0722168992834,342.6012366173267,392.128240296377,0.32,4168.1,24.6024,115.8072,0.0,22744,0.5456682901082027,400,0,0,41681,0,0,41681,0,11355,7582,0.2724262853578369,0.18190542453396033
solana,0.45,9,25,3795509.72,1671.76,127.58206862464708,271.2869292314159,316.3267154800241,0.0,4179.4,21.5631,114.4008,0.0,22848,0.5466813418193999,400,0,0,41794,0,0,41794,0,11399,7547,0.27274249892329044,0.18057615925730966
solana,0.45,10,25,3815275.12,1667.84,170.34691251980007,312.22816284015636,354.0319748194131,0.12,4169.599999999999,22.7902,115.3284,0.0,22675,0.543817152724482,400,0,0,41696,0,0,41696,0,11307,7714,0.2711770913277053,0.18500575594781274
solana,0.5,1,25,4129673.92,1668.52,138.8307143648988,293.9001703691345,358.52988475643616,0.08,4171.3,24.2381,111.4213,0.0,20833,0.49943662647136383,400,0,0,41713,0,0,41713,0,12450,8430,0.29846810346894254,0.20209527005969363
solana,0.5,2,25,4136552.48,1663.16,195.3258736568905,346.45153134170835,389.339819982649,0.2,4157.900000000001,30.2803,110.3562,0.0,20644,0.4965006373409654,400,0,0,41579,0,0,41579,0,12493,8442,0.30046417662762454,0.20303518603141008
solana,0.5,3,25,4098520.0,1659.4,145.72688098547792,312.3572282920466,375.7605457197617,0.12,4148.5,27.152,111.4268,0.0,20742,0.4999879474508859,400,0,0,41485,0,0,41485,0,12445,8298,0.29998794745088586,0.20002410509822827
solana,0.5,4,25,4066321.84,1650.92,138.65597664421767,288.54835375150736,338.8247562897091,0.0,4127.3,25.3665,113.4193,0.0,20690,0.5012962469410995,400,0,0,41273,0,0,41273,0,12383,8200,0.3000266518062656,0.1986771012526349
solana,0.5,5,25,4101271.84,1662.32,164.11597450145536,307.1686133703727,366.1341974560489,0.16,4155.8,27.0384,112.0599,0.0,20782,0.5000721882670003,400,0,0,41558,0,0,41558,0,12528,8248,0.3014582029934068,0.19846960873959285
solana,0.5,6,25,4156944.72,1668.56,141.85500458292503,282.4250229109782,324.0808890273857,0.04,4171.4,26.5209,108.8302,0.0,20655,0.4951575010787745,400,0,0,41714,0,0,41714,0,12609,8450,0.3022726183056048,0.20256988061562065
solana,0.5,7,25,4131040.88,1677.72,188.87964157776824,350.6956172171935,434.68458139321746,0.16,4194.3,27.2654,109.9145,0.0,21004,0.5007748611210452,400,0,0,41943,0,0,41943,0,12679,8260,0.30229120473022913,0.19693393414872565
solana,0.5,8,25,4149999.12,1667.24,180.05143508135083,344.1251795194192,391.5016976135128,0.32,4168.1,26.1439,113.1071,0.0,20654,0.4955255392145102,400,0,0,41681,0,0,41681,0,12607,8420,0.30246395240037427,0.20201050838511553
solana,0.5,9,25,4138457.72,1671.76,124.38692144673854,278.9779289471595,330.1694807606441,0.04,4179.4,22.82,112.3067,0.0,20818,0.49810977652294586,400,0,0,41794,0,0,41794,0,12649,8327,0.30265109824376707,0.19923912523328707
