chain,pqc_fraction,seed,nic_contention_enabled,use_chain_routing,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,block_time_ms,fee_market_enabled,base_fee_mean,base_fee_final,economic_failure_count,economic_failure_rate,avg_fee_paid,median_fee_paid,vote_tx_fraction_config,vote_tx_count_per_block,vote_overhead_fraction,effective_user_tps,break_even_stale_rate,profit_margin,exit_probability,estimated_validator_exits,remaining_validators_fraction,algo_counts_Ed25519,algo_distribution_Ed25519,base_fee_max,base_fee_min,cost_per_slot_usd,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,reward_per_slot_usd,total_fee_checks,total_tx_generated,verification_failures,vote_overhead_bytes_per_block,vote_overhead_bytes_total,vote_tx_count_total,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.1,1,True,True,30,1325967.6666666667,1109.4666666666667,293.2761708662328,369.9097900837732,393.0502967206608,0.23333333333333334,2773.666666666667,24.6366,142.2741,0.0,400,True,0.5,0.5,16822,0.3388731089220604,0.0,0.0,0.3,15.5,0.0144,2734.92,0.834753,0.60142,6e-06,0,1.0,29369,0.8823759163562072,0.5,0.5,0.00826235,0,0,33284,0,0,0.05,49641,49641,0,19096.0,572880,465,1176,1944,795,0.03533229179185194,0.058406441533469536,0.02388535031847134
solana,0.1,2,True,True,30,1317119.3666666667,1097.2333333333333,530.4345977150958,634.0321395601608,662.4159069568856,0.5,2743.0833333333335,29.9826,146.0259,0.0,400,True,0.5,0.5,16989,0.34362169049978764,0.0,0.0,0.3,15.5,0.0145,2704.33,0.834753,0.334753,0.001235,0,1.0,28980,0.88039614788711,0.5,0.5,0.00826235,0,0,32917,0,0,0.05,49441,49441,0,19096.0,572880,465,1178,1985,774,0.035786979372360785,0.060303186803171614,0.023513685937357597
solana,0.1,3,True,True,30,1318518.4,1099.2666666666667,440.6507617351379,526.6042550210212,545.1518609973868,0.4666666666666667,2748.1666666666665,27.4283,113.1598,0.0,400,True,0.5,0.5,16947,0.3426405175899717,0.0,0.0,0.3,15.5,0.0145,2709.42,0.834753,0.368086,0.000635,0,1.0,29068,0.8814361089210989,0.5,0.5,0.00826235,0,0,32978,0,0,0.05,49460,49460,0,19096.0,572880,465,1205,1914,791,0.0365395111892777,0.058038692461641096,0.02398568742798229
solana,0.1,4,True,True,30,1329715.5,1094.8333333333333,571.8896304476618,658.6189979189859,688.4278750069185,0.4,2737.083333333333,26.1823,158.3094,0.0,400,True,0.5,0.5,16950,0.34360429758767486,0.0,0.0,0.3,15.5,0.0144,2698.33,0.834753,0.434753,0.000167,0,1.0,28894,0.8797077180697214,0.5,0.5,0.00826235,0,0,32845,0,0,0.05,49330,49330,0,19096.0,572880,465,1148,2005,798,0.03495204749581367,0.061044298980057844,0.024295935454407065
solana,0.1,5,True,True,30,1306298.5,1096.4666666666667,389.75508725798966,478.9715915832549,507.05728603642143,0.3,2741.166666666667,27.2578,141.0917,0.0,400,True,0.5,0.5,17052,0.34461712576544534,0.0,0.0,0.3,15.5,0.0146,2702.42,0.834753,0.534753,2.3e-05,0,1.0,29038,0.8827749741594212,0.5,0.5,0.00826235,0,0,32894,0,0,0.05,49481,49481,0,19096.0,572880,465,1127,1953,776,0.03426156745911108,0.05937252994467076,0.023590928436796985
solana,0.15,1,True,True,30,1766351.9333333333,1121.4,563.648363523373,655.1443042068327,678.6888484647127,0.5333333333333333,2803.5,32.352,216.8936,0.0,400,True,0.5,0.5,16464,0.331661328337463,0.0,0.0,0.3,15.5,0.0108,2764.75,0.834753,0.30142,0.002404,0,1.0,27817,0.8268533380892932,0.5,0.5,0.00826235,0,0,33642,0,0,0.05,49641,49641,0,19096.0,572880,465,1752,2932,1141,0.05207775994292848,0.08715296355745794,0.03391593841032043
solana,0.15,2,True,True,30,1777034.2333333334,1107.9,564.2049004271015,659.3244155778648,684.229894199492,0.5333333333333333,2769.75,41.3108,199.1031,0.0,400,True,0.5,0.5,16669,0.33714932950385307,0.0,0.0,0.3,15.5,0.0107,2731.0,0.834753,0.30142,0.002404,0,1.0,27406,0.824562987032524,0.5,0.5,0.00826235,0,0,33237,0,0,0.05,49441,49441,0,19096.0,572880,465,1758,2895,1178,0.052892860366459064,0.08710172398230888,0.03544242861870807
solana,0.15,3,True,True,30,1773372.0,1109.8666666666666,541.2678333858137,635.9136153365895,661.210364473019,0.5,2774.6666666666665,36.7433,184.4331,0.0,400,True,0.5,0.5,16629,0.3362110796603316,0.0,0.0,0.3,15.5,0.0108,2735.92,0.834753,0.334753,0.001235,0,1.0,27454,0.8245434887073523,0.5,0.5,0.00826235,0,0,33296,0,0,0.05,49460,49460,0,19096.0,572880,465,1733,2950,1159,0.0520482940893801,0.08859923113887554,0.03480898606439212
solana,0.15,4,True,True,30,1784018.7,1106.9,779.910233913619,877.5703341509055,905.9428637380393,0.4666666666666667,2767.25,35.1657,190.9229,0.0,400,True,0.5,0.5,16588,0.33626596391648084,0.0,0.0,0.3,15.5,0.0107,2728.5,0.834753,0.368086,0.000635,0,1.0,27336,0.8231999277260819,0.5,0.5,0.00826235,0,0,33207,0,0,0.05,49330,49330,0,19096.0,572880,465,1695,3005,1171,0.05104345469328756,0.09049296835004668,0.035263649230583914
solana,0.15,5,True,True,30,1778588.3666666667,1108.4666666666667,498.87020859353595,597.0140690611684,625.2594310981149,0.3333333333333333,2771.166666666667,36.7289,206.5439,0.0,400,True,0.5,0.5,16692,0.33734160586891937,0.0,0.0,0.3,15.5,0.0107,2732.42,0.834753,0.50142,4.4e-05,0,1.0,27384,0.8234798821194442,0.5,0.5,0.00826235,0,0,33254,0,0,0.05,49481,49481,0,19096.0,572880,465,1739,2969,1162,0.05229446081674385,0.08928249233174956,0.034943164732062305
solana,0.2,1,True,True,30,2259739.8,1134.1,543.5328910626886,641.1943064003377,664.9171952735802,0.4666666666666667,2835.25,41.9666,261.7504,0.0,400,True,0.5,0.5,16083,0.32398622106726294,0.0,0.0,0.3,15.5,0.0085,2796.5,0.834753,0.368086,0.000635,0,1.0,26163,0.768979807777092,0.5,0.5,0.00826235,0,0,34023,0,0,0.05,49641,49641,0,19096.0,572880,465,2367,3922,1571,0.06957058460453223,0.1152749610557564,0.0461746465626194
solana,0.2,2,True,True,30,2254040.933333333,1120.7333333333333,538.4823581697169,633.5240670366983,669.7305676615435,0.5333333333333333,2801.8333333333335,52.8592,237.5922,0.0,400,True,0.5,0.5,16284,0.3293622701806193,0.0,0.0,0.3,15.5,0.0085,2763.08,0.834753,0.30142,0.002404,0,1.0,25824,0.7680685265599905,0.5,0.5,0.00826235,0,0,33622,0,0,0.05,49441,49441,0,19096.0,572880,465,2326,3882,1590,0.06918089346261376,0.11546011540063054,0.047290464576765216
solana,0.2,3,True,True,30,2189683.3333333335,1123.2333333333333,394.664485166141,477.93268248830617,498.9760681480371,0.3,2808.0833333333335,45.6719,215.6635,0.0,400,True,0.5,0.5,16228,0.32810351799433884,0.0,0.0,0.3,15.5,0.0087,2769.33,0.834753,0.534753,2.3e-05,0,1.0,26090,0.7742529008517078,0.5,0.5,0.00826235,0,0,33697,0,0,0.05,49460,49460,0,19096.0,572880,465,2309,3792,1506,0.06852242039350684,0.11253227290263228,0.04469240585215301
solana,0.2,4,True,True,30,2238944.466666667,1119.9666666666667,870.7467917772476,962.0928733438705,990.1038002934425,0.6,2799.916666666667,44.0223,266.5793,0.0,400,True,0.5,0.5,16196,0.3283194810460166,0.0,0.0,0.3,15.5,0.0085,2761.17,0.834753,0.234753,0.009058,0,1.0,25797,0.7677907080567874,0.5,0.5,0.00826235,0,0,33599,0,0,0.05,49330,49330,0,19096.0,572880,465,2297,3958,1547,0.0683651299145808,0.11780112503348314,0.04604303699514867
solana,0.2,5,True,True,30,2254961.2333333334,1120.8333333333333,629.69527747125,732.3701881008573,758.8672867954664,0.4666666666666667,2802.083333333333,47.4522,263.9732,0.0,400,True,0.5,0.5,16321,0.3298437784199996,0.0,0.0,0.3,15.5,0.0085,2763.33,0.834753,0.368086,0.000635,0,1.0,25804,0.7674052044609665,0.5,0.5,0.00826235,0,0,33625,0,0,0.05,49481,49481,0,19096.0,572880,465,2301,3941,1579,0.06843122676579926,0.11720446096654275,0.04695910780669145
